cod_munic,ano,cod_uf,nome_uf,pib,state.x,popdens,poprural,prefeito,govpt,poptot.y,ruralpc,hdi.2010.100,hdi.2000.100,pref.pt,organ,op,esq
1100122,2005,11,Rondônia,1000629.33,20,16.19699889,13770.5,PFL,0,111705,0.123275593,7.14,7.53,0,144,1,0.246666666666667
1100122,2009,11,Rondônia,1401586.33,20,16.76597095,12157.3,DEM,0,115629,0.105140582,7.14,7.53,0,182,0,0.331983805668016
1100205,2005,11,Rondônia,3700676.68,20,11.19341845,49374,PT,0,381594,0.129388824,7.36,7.63,1,417,1,0.513317191283293
1100205,2009,11,Rondônia,6607641.73,20,12.29476724,40111.6,PT,0,419140,0.095699765,7.36,7.63,1,484,1,0.776548672566372
1200401,2005,12,Acre,2369238.93,1,33.33691735,27124.5,PT,1,294549,0.092088245,7.27,7.54,1,413,1,0.300211416490486
1200401,2009,12,Acre,3837370.73,1,37.09345913,27415.3,PT,1,327740,0.083649538,7.27,7.54,1,412,0,0.660869565217391
1302603,2005,13,Amazonas,27517836.06,3,140.6816996,9128.5,PSB,0,1603925,0.005691351,7.37,7.74,0,1070,1,0.315602836879433
1302603,2009,13,Amazonas,40486106.54,3,154.5813331,9177.7,PTB,0,1762396,0.005207513,7.37,7.74,0,1142,0,0.608695652173913
1303403,2005,13,Amazonas,278770.19,3,16.14348842,32082.5,PSDB,0,96092,0.333872736,6.58,6.96,0,53,0,0.480916030534351
1303403,2009,13,Amazonas,460521.75,3,16.94199402,32128.5,PSDB,0,100845,0.318592876,6.58,6.96,0,110,0,0.424479166666667
1400100,2005,14,Roraima,2264674.09,21,42.63045941,4990.5,PPS,0,242441,0.02058439,7.52,7.79,0,205,0,0.623853211009174
1400100,2009,14,Roraima,4090496.92,21,48.52069716,6206.9,PSB,0,275939,0.022493739,7.52,7.79,0,232,0,0.625714285714286
1500107,2005,15,Pará,277431.65,13,80.80312567,53207,PT,0,130126,0.40888831,6.28,7.06,1,67,1,0.541509433962264
1500107,2009,15,Pará,456256.93,13,86.25453922,57125.4,PSDB,1,138905,0.411255181,6.28,7.06,0,73,0,0.511166253101737
1500800,2005,15,Pará,2172090.82,13,2272.369271,1061,PMDB,0,432775,0.00245162,7.18,7.82,0,195,1,0.457142857142857
1500800,2009,15,Pará,3243369.41,13,2437.05205,1156.2,PMDB,1,464139,0.002491064,7.18,7.82,0,239,0,0.527359238699445
1501402,2005,15,Pará,11277478.14,13,1261.972631,10121.5,PTB,0,1337007,0.007570267,7.46,8.06,0,1053,0,0.351791530944625
